title,complex,address,price,price_per_mp,rooms,square_footage,floor_no,bathrooms,bedrooms
Victory by Casa Nobel – schița apartament cu 2 camere apartament camere de la 56.41m2 - Korter.ro,Victory by Casa Nobel,"str.Nicolae Labiș, 33, Brașov(V6)",96000,1702,2,56.412,0,0,0
Vivamus Park Residence – schița apartament cu Garsonieră camere de la 48.0m2 - Korter.ro,Vivamus Park Residence,"str.Orizontului, 2, Brașov(Bloc 7)",61500,1281,0,482,0,0,0
Victory by Casa Nobel – schița apartament cu 2 camere apartament camere de la 53.25m2 - Korter.ro,Victory by Casa Nobel,"str.Nicolae Labiș, 33, Brașov(V6)",94000,1765,2,53.252,0,0,0
Rainbow by Casa Nobel – schița apartament cu 3 camere apartament camere de la 76.33m2 - Korter.ro,Rainbow by Casa Nobel,"str.Nicolae Labiș, 86, Brașov(G1)",122000,1598,3,76.332,0,0,0
Mountain View Residence – schița apartament cu 2 camere apartament camere de la 73.14m2 - Korter.ro,Mountain View Residence,"str.Calea Feldioarei, 32A, Brașov(Bloc 4)",122000,1668,2,73.142,0,0,0
Coder Residence 3 – schița apartament cu Garsonieră camere de la 53.19m2 - Korter.ro,Coder Residence 3,"str.Plugarilor, 2M, Brașov(vila 3)",0,0,0,53.192,0,0,0
Cosmopolit Cantacuzino – schița apartament cu 2 camere apartament camere de la 106.26m2 - Korter.ro,Cosmopolit Cantacuzino,"str.Dr.Ion Cantacuzino, 22, Brașov(Bloc B)",166455,1566,2,106.262,"ETAJ CONTRACTATSiguranță în achiziționarea apartamentuluiPosibilitatea de a urmări îndeaproape lucrările la apartamentul dumneavoastrăPosibilitatea achitării restului de plată in faza finală a proiectului, permițând o mai buna gestionare a bugetului familieiPrețul este cu 5",0,0
Uno Brașov – schița apartament cu 1 camere apartament camere de la 45.0m2 - Korter.ro,Uno Brașov,"str.Piatra Arsă, 1, Brașov(Bloc 6)",76941,1710,1,452,0,0,0
Uno Brașov – schița apartament cu 1 camere apartament camere de la 45.0m2 - Korter.ro,Uno Brașov,"str.Piatra Arsă, 1, Brașov(Bloc 5)",74860,1664,1,452,0,0,0
Top City – schița apartament cu Studio camere de la 44.86m2 - Korter.ro,Top City,"str.Ștefan Baciu, 42-56, zona Tractorul, Brașov(B3-4)",69900,1558,0,44.862,0,0,0
Green Residence – schița apartament cu 2 camere apartament camere de la 43.03m2 - Korter.ro,Green Residence,"str.Drumul cu Plopi, 114-116, zona Sânpetru, Brașov(Vila 46)",73760,1714,2,43.032,0,0,0
Sunnyville Plus – schița apartament cu 2 camere apartament camere de la 71.75m2 - Korter.ro,Sunnyville Plus,"str.Carpatilor, nr 24, Brasov(Bloc 1)",113246,1578,2,71.752,0,0,0
Maurer Villas – schița apartament cu 3 camere apartament camere de la 68.7m2 - Korter.ro,Maurer Villas,"str.Ioan Popasu, 2, Brașov(Bloc V18)",115600,1683,3,68.72,0,0,0
Mosaic Residence – schița apartament cu 2 camere apartament camere de la 52.0m2 - Korter.ro,Mosaic Residence,"str.Nicolae Labiș, 62, Brașov(Bloc 3)",86667,1667,2,522,0,0,0
Coresi Avantgerden – schița apartament cu 3 camere apartament camere de la 82.74m2 - Korter.ro,Coresi Avantgerden,"str.Zaharia Stancu, 1(Bloc 43)",0,0,3,82.742,0,0,0
ONE66 – schița apartament cu 2 camere apartament camere de la 71.25m2 - Korter.ro,ONE66,"str.Mihai Viteazul, 166(Bloc 1)",0,0,2,71.252,0,0,0
Cosmopolit Cantacuzino – schița apartament cu 3 camere apartament camere de la 191.91m2 - Korter.ro,Cosmopolit Cantacuzino,"str.Dr.Ion Cantacuzino, 22, Brașov(Bloc B)",315276,1643,3,191.912,"ETAJ CONTRACTATSiguranță în achiziționarea apartamentuluiPosibilitatea de a urmări îndeaproape lucrările la apartamentul dumneavoastrăPosibilitatea achitării restului de plată in faza finală a proiectului, permițând o mai buna gestionare a bugetului familieiPrețul este cu 5",0,0
Transilvania Residence – schița apartament cu 2 camere apartament camere de la 66.28m2 - Korter.ro,Transilvania Residence,"str.Nucului, 48, Brașov(Tronson 2)",95000,1433,2,66.282,0,0,0
Cosmopolit Zenit – schița apartament cu 2 camere apartament camere de la 60.22m2 - Korter.ro,Cosmopolit Zenit,"str.Carpaților, 15-17, Brașov(Bloc C)",130583,2168,2,60.222,ETAJ CONTRACTAT30,0,0
Vivamus Park Residence – schița apartament cu Garsonieră camere de la 52.88m2 - Korter.ro,Vivamus Park Residence,"str.Orizontului, 2, Brașov(Bloc 7)",62400,1180,0,52.882,0,0,0
Vitus Residence – schița apartament cu 3 camere apartament camere de la 88.0m2 - Korter.ro,Vitus Residence,"str.Mihai Viteazul, 87, Brașov(SCARA A)",145900,1658,3,882,0,0,0
ONE66 – schița apartament cu 3 camere apartament camere de la 120.24m2 - Korter.ro,ONE66,"str.Mihai Viteazul, 166(Bloc 1)",0,0,3,120.242,0,0,0
Mountain View Residence – schița apartament cu 2 camere apartament camere de la 54.55m2 - Korter.ro,Mountain View Residence,"str.Calea Feldioarei, 32A, Brașov(Bloc 4)",96000,1760,2,54.552,0,0,0
Cosmopolit Zenit – schița apartament cu 2 camere apartament camere de la 79.78m2 - Korter.ro,Cosmopolit Zenit,"str.Carpaților, 15-17, Brașov(Bloc C)",132053,1655,2,79.782,ETAJ CONTRACTAT30,0,0
Cosmopolit Zenit – schița apartament cu 2 camere apartament camere de la 79.78m2 - Korter.ro,Cosmopolit Zenit,"str.Carpaților, 15-17, Brașov(Bloc C)",131318,1646,2,79.782,ETAJ CONTRACTAT30,0,0
