title,complex,address,price,price_per_mp,rooms,square_footage,floor_no,bathrooms,bedrooms
Sagex Green Lake Residence – schița apartament cu 2 camere apartament camere de la 70.5m2 - Korter.ro,Sagex Green Lake Residence,"Bucuresti-Targoviste 9J, zona Straulesti, Bucuresti(Sagex Green Lake Residence)",105500,1496,2,70.52,0,0,0
Yacht Kid – schița apartament cu 2 camere apartament camere de la 73.6m2 - Korter.ro,Yacht Kid,"str.Anton Holban, 6, București(Yacht)",0,0,2,73.62,0,0,0
Jolie Village – schița apartament cu 2 camere apartament camere de la 67.95m2 - Korter.ro,Jolie Village,"str.Alexandru cel Bun, 20B, Voluntari(bloc C)",172000,2531,2,67.952,0,0,0
Gran Via Lake View – schița apartament cu 2 camere apartament camere de la 70.19m2 - Korter.ro,Gran Via Lake View,"str.Fabrica de Gheata, 2B, Bucuresti(GranVia Lake View)",118000,1681,2,70.192,0,0,0
Luxuria Residence – schița apartament cu Studio camere de la 61.57m2 - Korter.ro,Luxuria Residence,"str.Aviator Popișteanu, 54B, zona Domenii, Sector 1, București(Bloc 9)",126711,2058,0,61.572,0,0,0
HILS Brauner – schița apartament cu Garsonieră camere de la 37.64m2 - Korter.ro,HILS Brauner,"str.Victor Brauner, 40, Bucureşti(Bloc 1)",56000,1488,0,37.642,0,0,0
Premium Town Residence – schița apartament cu 2 camere apartament camere de la 46.25m2 - Korter.ro,Premium Town Residence,șos.Dudești Pantelimon 42(bloc),69372,1500,2,46.252,0,0,0
Echo Tineretului – schița apartament cu 2 camere apartament camere de la 77.35m2 - Korter.ro,Echo Tineretului,"str.Gladitei, 15-17, București(blocul)",125838,1627,2,77.352,0,0,0
Panduri Residence – schița apartament cu Studio camere de la 52.73m2 - Korter.ro,Panduri Residence,"Str.Mihail Cioranu, 3, Bucuresti(blocul)",0,0,0,52.732,0,0,0
Echo Tineretului – schița apartament cu 2 camere apartament camere de la 80.65m2 - Korter.ro,Echo Tineretului,"str.Gladitei, 15-17, București(blocul)",127691,1583,2,80.652,0,0,0
Luica Residence – schița apartament cu 1 camere apartament camere de la 49.06m2 - Korter.ro,Luica Residence,"str.Acțiunii, zona Progresul, Sector 4, București(Bloc 1)",42900,874,1,49.062,0,0,0
New Colentina Residence – schița apartament cu 1 camere apartament camere de la 59.0m2 - Korter.ro,New Colentina Residence,"str.Răscoala, 1907, zona Colentina(Colentina Residence)",84900,1439,1,592,0,0,0
H4l The Village – schița apartament cu 3 camere apartament camere de la 102.72m2 - Korter.ro,H4l The Village,"str.Emil Racoviță, zona Lac Șaulei/Pipera, Voluntari, Ilfov(Faza 2)",176000,1713,3,102.722,0,0,0
Eminescu 65 Residence – schița apartament cu 3 camere apartament camere de la 84.6m2 - Korter.ro,Eminescu 65 Residence,"str.Eminescu, 65, Bucureşti(Eminescu 65)",238000,2813,3,84.62,0,0,0
Agatului 66 – schița apartament cu 2 camere apartament camere de la 55.0m2 - Korter.ro,Agatului 66,"str.Drumul Agatului, zona Pădurea Băneasa, sector 1, București(Bloc 1)",58800,1069,2,552,0,0,0
Trifoiului Residence – schița apartament cu 2 camere apartament camere de la 65.7m2 - Korter.ro,Trifoiului Residence,"str.Trifoiului, 39, Dobroesti, Ilfov(blocul)",81000,1233,2,65.72,0,0,0
Ivory Residence – schița apartament cu Studio camere de la 35.46m2 - Korter.ro,Ivory Residence,"șos.Pipera Tunari, 1, zona Pipera(Bloc 6)",68700,1937,0,35.462,0,0,0
NEST By The Lake – schița apartament cu 2 camere apartament camere de la 55.95m2 - Korter.ro,NEST By The Lake,"șos.Dobroiești, 84C, Dobroesti(Faza 1)",0,0,2,55.952,0,0,0
Joy Galaxy Residence – schița apartament cu 1 camere apartament camere de la 38.78m2 - Korter.ro,Joy Galaxy Residence,"str.Biruinței, Popești-Leordeni, Ilfov(Bloc 7)",50414,1300,1,38.782,0,0,0
Bucuria Residence – schița apartament cu 1 camere apartament camere de la 40.9m2 - Korter.ro,Bucuria Residence,"Drumul Postalionului, 93-95, zona Brancoveanu, Sector 4, București(Corp A)",50500,1235,1,40.92,0,0,0
Jasmine Residence Pallady – schița apartament cu 2 camere apartament camere de la 47.6m2 - Korter.ro,Jasmine Residence Pallady,"str.Drumul Gura Putnei, 23-45, Bucuresti(bloc 1)",66640,1400,2,47.62,0,0,0
Central Address Residence – schița apartament cu 1 camere apartament camere de la 33.9m2 - Korter.ro,Central Address Residence,"str.Nasaud, 77, București(Bloc 2)",49155,1450,1,33.92,0,0,0
The Class Villas – schița apartament cu 5 camere apartament camere de la 128.33m2 - Korter.ro,The Class Villas,"str.Alexandru Ioan Cuza, Tunari, Ilfov(The Class Villas)",179000,1395,5,128.332,0,0,0
Obor Est Residence – schița apartament cu Studio camere de la 53.61m2 - Korter.ro,Obor Est Residence,"șos.Electronicii, 9-11, Bucuresti(bloc 1)",85800,1600,0,53.612,0,0,0
H4l Holban – schița apartament cu 2 camere apartament camere de la 68.82m2 - Korter.ro,H4l Holban,str.Ștefan Holban nr 38 B(Bloc 2),89500,1300,2,68.822,0,0,0
Lac Străuleşti Condominium – schița apartament cu 2 camere apartament camere de la 51.35m2 - Korter.ro,Lac Străuleşti Condominium,"str.drumul Sărmaș, 17-19, București(Bloc 4)",103500,2016,2,51.352,0,0,0
Herăstrău Boutique – schița apartament cu 2 camere apartament camere de la 64.0m2 - Korter.ro,Herăstrău Boutique,"str.Promoroacă, 6, București(Herăstrău Boutique)",149900,2342,2,642,0,0,0
IN Rezidential 2 Militari – schița apartament cu 1 camere apartament camere de la 37.71m2 - Korter.ro,IN Rezidential 2 Militari,"str.Iiliu Maniu, Nr.405, Sector 6, Bucuresti(Bloc 1)",45900,1217,1,37.712,0,0,0
MetroCity – schița apartament cu Studio camere de la 52.7m2 - Korter.ro,MetroCity,"str.Ariei, nr.12, Sector 1, zona Chitila, București(Bloc 1)",66900,1269,0,52.72,0,0,0
Empire Residence Tornadei – schița apartament cu 2 camere apartament camere de la 64.49m2 - Korter.ro,Empire Residence Tornadei,"Aleea Tornadei, 4-10, București(blocul)",86000,1334,2,64.492,0,0,0
Lebăda Lake Residence – schița apartament cu Garsonieră camere de la 38.85m2 - Korter.ro,Lebăda Lake Residence,"str.Neptun, Pantelimon(Bloc 5)",79000,2033,0,38.852,0,0,0
My Place Residence – schița apartament cu 2 camere apartament camere de la 83.4m2 - Korter.ro,My Place Residence,"bd.Pipera, 1-VIII A, zona Voluntari, București(My PlaceResidence)",0,0,2,83.42,0,0,0
H4l Millennium – schița apartament cu 1 camere apartament camere de la 55.51m2 - Korter.ro,H4l Millennium,"șos.Pipera-Tunari, 2, zona Pipera, Voluntari, Ilfov(Bloc 2)",0,0,1,55.512,0,0,0
Cortina North – schița apartament cu Studio camere de la 48.82m2 - Korter.ro,Cortina North,"bd.Pipera, 1,zona Voluntari, sector 1, București(Tronson D1)",73230,1500,0,48.822,0,0,0
Uplake Residence – schița apartament cu 3 camere apartament camere de la 71.0m2 - Korter.ro,Uplake Residence,"Strada Păcii NR26, Chitila(Corp C)",120000,1690,3,712,0,0,0
Ghica Apartments – schița apartament cu Studio camere de la 35.75m2 - Korter.ro,Ghica Apartments,"str.Grozdea, 10A, zona Baicului, sector 2, București(Ghica Apartments)",43700,1222,0,35.752,0,0,0
Luxuria Residence – schița apartament cu Studio camere de la 57.37m2 - Korter.ro,Luxuria Residence,"str.Aviator Popișteanu, 54B, zona Domenii, Sector 1, București(Bloc 8)",133818,2333,0,57.372,0,0,0
Gran Via Lake View – schița apartament cu 2 camere apartament camere de la 69.69m2 - Korter.ro,Gran Via Lake View,"str.Fabrica de Gheata, 2B, Bucuresti(GranVia Lake View)",124000,1779,2,69.692,0,0,0
Sagex Green Lake Residence – schița apartament cu 2 camere apartament camere de la 67.0m2 - Korter.ro,Sagex Green Lake Residence,"Bucuresti-Targoviste 9J, zona Straulesti, Bucuresti(Sagex Green Lake Residence)",110500,1649,2,672,0,0,0
Siena Residenсе – schița apartament cu Garsonieră camere de la 39.0m2 - Korter.ro,Siena Residenсе,"str.Biruinței, 81 - 83, Popești Leordeni, Ilfov(bloc 1)",52000,1333,0,392,0,0,0
Jasmine Residence Pallady – schița apartament cu 2 camere apartament camere de la 48.85m2 - Korter.ro,Jasmine Residence Pallady,"str.Drumul Gura Putnei, 23-45, Bucuresti(bloc 1)",68390,1400,2,48.852,0,0,0
